Client_ID,Client_Type,Client_Verification,Client_Location,Cargo_ID,Cargo_Type,Cargo_Value,Cargo_Weight,Cargo_Risk,Transporter,Route,Border_Point,GPS_Location,KRA_Lock,KRA_Penalty,Incident_Type,Incident_Location,Incident_Report_Date,Estimated_Loss
2927,Individual,Verified,Eldoret,765545,Machinery,887710.7976,1881.538438,Medium,Transporter_C,Mombasa-Nairobi,Busia,In Transit,TRUE,10000,Fraud,Transit,7/22/2024,11135.40201
8980,Individual,Verified,Nairobi,508092,Vehicle,409504.3137,4168.638036,Medium,Transporter_B,Nairobi-Eldoret,Taveta,Delivered,TRUE,100000,Fraud,Warehouse,11/27/2023,47659.70495
1910,Business,Verified,Eldoret,255299,Furniture,68266.56898,9737.024967,High,Transporter_B,Mombasa-Kampala,Busia,In Transit,TRUE,50000,None,N/A,,1812.841701
3106,Business,Unverified,Kisumu,107386,Machinery,18475.98441,848.173151,Medium,Transporter_B,Mombasa-Kampala,Taveta,At Customs,FALSE,0,None,N/A,,2407.0366
7677,Business,Unverified,Nakuru,450906,Vehicle,53743.61918,7917.540168,High,Transporter_A,Mombasa-Kampala,Taveta,Delivered,FALSE,0,Theft,Transit,3/8/2024,97895.71483
7910,Individual,Verified,Mombasa,152633,Vehicle,568414.1815,6815.791887,High,Transporter_C,Mombasa-Nairobi,Malaba,In Transit,TRUE,10000,Theft,Transit,9/9/2024,52972.65954
6713,Business,Unverified,Mombasa,352985,Electronics,891794.5246,4403.189861,Medium,Transporter_A,Nairobi-Eldoret,Taveta,In Transit,TRUE,0,Theft,Border,6/13/2024,41399.30816
8468,Business,Unverified,Kisumu,853285,Textiles,422353.0621,7696.306811,Medium,Transporter_B,Mombasa-Nairobi,Malaba,At Customs,TRUE,50000,None,N/A,,1920.122945
6661,Individual,Verified,Nakuru,254147,Electronics,861484.8079,1973.082265,Low,Transporter_B,Nairobi-Eldoret,Malaba,In Transit,FALSE,50000,None,N/A,,925.0516535
3289,Business,Verified,Nairobi,994759,Machinery,398603.9341,5372.423702,High,Transporter_C,Nairobi-Eldoret,Busia,At Customs,TRUE,10000,Theft,Warehouse,1/22/2024,38927.35453
8368,Business,Verified,Mombasa,867702,Electronics,69615.65509,997.7183108,Medium,Transporter_A,Nairobi-Kisumu,Namanga,Delivered,TRUE,10000,Theft,Border,9/11/2024,75026.78618
7197,Individual,Verified,Eldoret,378462,Textiles,884968.6346,4684.290702,High,Transporter_B,Nairobi-Eldoret,Busia,At Customs,TRUE,10000,Theft,Transit,6/7/2024,96526.56765
5451,Business,Verified,Nairobi,748081,Machinery,499834.9085,5964.135706,High,Transporter_B,Mombasa-Kampala,Malaba,Delivered,TRUE,10000,None,N/A,,2726.942797
6560,Business,Unverified,Mombasa,752515,Electronics,746825.7408,1291.707682,Low,Transporter_B,Mombasa-Kampala,Malaba,Delivered,TRUE,100000,Fraud,Transit,6/29/2024,55382.52479
9682,Business,Unverified,Kisumu,316007,Vehicle,438666.4197,9117.564843,Low,Transporter_C,Nairobi-Eldoret,Busia,Unknown,TRUE,0,None,N/A,,1081.311973
4453,Individual,Verified,Mombasa,314633,Machinery,987986.2221,7885.522316,Medium,Transporter_A,Nairobi-Eldoret,Namanga,Unknown,TRUE,50000,None,N/A,,-2145.513833
9996,Business,Verified,Eldoret,648774,Vehicle,342260.8382,1146.651135,Low,Transporter_C,Nairobi-Kisumu,Malaba,Delivered,TRUE,50000,None,N/A,,3954.046809
6755,Business,Unverified,Nairobi,604868,Machinery,575384.2194,499.2715515,Medium,Transporter_A,Nairobi-Eldoret,Malaba,At Customs,FALSE,10000,Damage,Warehouse,9/22/2024,71020.10437
4040,Business,Unverified,Nairobi,672959,Vehicle,878576.6934,2900.514861,Low,Transporter_A,Mombasa-Nairobi,Taveta,At Customs,TRUE,50000,None,N/A,,528.8358227
3074,Business,Verified,Nakuru,319508,Furniture,976990.2203,9910.891133,High,Transporter_A,Nairobi-Kisumu,Busia,At Customs,TRUE,10000,None,N/A,,331.8449774
4797,Business,Verified,Nairobi,102700,Vehicle,503830.7363,7647.553411,Low,Transporter_A,Nairobi-Kisumu,Malaba,Unknown,FALSE,10000,Theft,Transit,10/6/2024,63107.81776
1492,Individual,Verified,Nakuru,858618,Textiles,77040.41917,4325.22669,High,Transporter_B,Nairobi-Eldoret,Malaba,In Transit,TRUE,100000,Theft,Border,9/23/2024,82226.21936
6408,Business,Verified,Nakuru,155881,Furniture,225700.3429,5821.693972,Low,Transporter_C,Mombasa-Nairobi,Busia,In Transit,TRUE,50000,None,N/A,,-1590.79295
9580,Business,Verified,Eldoret,693510,Electronics,231473.6024,1315.691278,High,Transporter_C,Nairobi-Kisumu,Busia,In Transit,TRUE,50000,Theft,Border,1/11/2024,29489.57424
7559,Business,Verified,Nairobi,138877,Furniture,1011879.99,1310.774099,High,Transporter_B,Nairobi-Kisumu,Busia,In Transit,TRUE,50000,Theft,Border,6/1/2024,88932.04118
1953,Business,Unverified,Nakuru,157943,Textiles,1004129.877,6402.569016,Low,Transporter_A,Nairobi-Eldoret,Busia,Delivered,TRUE,0,Theft,Warehouse,1/31/2024,79986.1304
6305,Individual,Unverified,Eldoret,744472,Vehicle,111521.2806,215.8860877,Low,Transporter_C,Mombasa-Nairobi,Taveta,Delivered,TRUE,10000,Damage,Warehouse,5/3/2024,84025.65393
1574,Business,Verified,Mombasa,577060,Furniture,869417.328,1588.795681,Medium,Transporter_B,Mombasa-Nairobi,Malaba,At Customs,TRUE,50000,Damage,Border,10/13/2024,63751.75249
